,0
0,17405
1,424
2,163841
3,5
4,4098
5,1608
6,166857
7,13122
8,140934
9,154825
10,39351
11,231581
12,204281
13,2775
14,165950
15,181617
16,34219
17,98918
18,221769
19,235555
20,230244
21,39242
22,224517
23,28720
24,172308
25,552
26,19237
27,12902
28,84876
29,191977
30,37734
31,156373
32,1510
33,22141
34,272739
35,129736
36,198773
37,200934
38,21050
39,14105
40,124361
41,229892
42,214887
43,306443
44,284083
45,192457
46,246784
47,111799
48,192802
49,38364
50,62219
51,38553
52,161617
53,97207
54,142379
55,113294
56,249381
57,203427
58,216600
59,79828
60,147451
61,192455
62,121297
63,175914
64,172
65,1717
66,12891
67,31481
68,173090
69,220588
70,1345
71,19857
72,111341
73,156501
74,171668
75,37628
76,30381
77,3685
78,197320
79,242722
80,176083
81,83629
82,216070
83,24181
84,217776
85,144239
86,19777
87,206490
88,185257
89,265
90,176494
91,148949
92,12002
93,855
94,211716
95,5725
96,109276
97,143175
98,127023
99,275067
100,122515
101,4099
102,172996
103,2507
104,222407
105,153065
106,236191
107,823
108,77423
109,222509
110,1
111,176558
112,96848
113,5767
114,276025
115,40354
116,46
117,2955
118,31563
119,118
120,72287
121,171662
122,167355
123,135654
124,191989
125,904
126,236125
127,1830
128,217449
129,234277
130,197101
131,1234
132,179275
133,164928
134,245928
135,155255
136,128780
137,198953
138,257732
139,193728
140,181761
141,274960
142,87890
143,124
144,555
145,36811
146,8045
147,172547
148,12
149,177639
150,161417
151,144270
152,262712
153,111
154,875
155,132531
156,169426
157,84
158,237182
159,9217
160,158900
161,372
162,372
163,254123
164,26697
165,2511
166,202426
167,92415
168,22827
169,182704
170,204
171,1590
172,9625
173,204472
174,475
175,269207
176,46213
177,17161
178,120677
179,30869
180,182028
181,42
182,54
183,235344
184,24827
185,102680
186,175293
187,163805
188,30957
189,269210
190,12333
191,268864
192,290359
193,170416
194,191231
195,241724
196,42052
197,171623
198,115746
199,4425
200,266192
201,165401
202,150446
